Geo_Name,state_code,survey_year,Tax_Type,item,AMOUNT
Alabama,01,2018,Severance Taxes,T53,"56,162"
Alabama,01,2018,"Taxes, NEC",T99,0
Alaska,02,2018,Total Taxes,T00,"1,641,733"
Alaska,02,2018,Property Taxes,T01,"121,563"
Alaska,02,2018,Sales and Gross Receipts Taxes,TA1,"252,974"
Alaska,02,2018,General Sales and Gross Receipts Taxes,T09,X
Alaska,02,2018,Selective Sales and Gross Receipts Taxes,TA2,"252,974"
Alaska,02,2018,Alcoholic Beverages Sales Tax,T10,"39,217"
Alaska,02,2018,Amusements Sales Tax,T11,"11,006"
Alaska,02,2018,Insurance Premiums Sales Tax,T12,"62,429"
Alaska,02,2018,Motor Fuels Sales Tax,T13,"47,149"
Alaska,02,2018,Pari-mutuels Sales Tax,T14,X
Alaska,02,2018,Public Utilities Sales Tax,T15,"4,819"
Alaska,02,2018,Tobacco Products Sales Tax,T16,"55,500"
Alaska,02,2018,Other Selective Sales and Gross Receipts Taxes,T19,"32,854"
Alaska,02,2018,License Taxes,TA3,"139,691"
Alaska,02,2018,Alcoholic Beverages License,T20,"1,433"
Alaska,02,2018,Amusements License,T21,0
Alaska,02,2018,Corporations in General License,T22,X
Alaska,02,2018,Hunting and Fishing License,T23,"35,608"
Alaska,02,2018,Motor Vehicle License,T24,"36,258"
Alaska,02,2018,Motor Vehicle Operators License,T25,X
Alaska,02,2018,Public Utilities License,T27,"10,671"
Alaska,02,2018,"Occupation and Business License, NEC",T28,"51,608"
Alaska,02,2018,Other License Taxes,T29,"4,113"
Alaska,02,2018,Income Taxes,TA4,"196,321"
Alaska,02,2018,Individual Income Taxes,T40,X
Alaska,02,2018,Corporations Net Income Taxes,T41,"196,321"
Alaska,02,2018,Other Taxes,TA5,"931,184"
Alaska,02,2018,Death and Gift Taxes,T50,X
Alaska,02,2018,Documentarty and Stock Transfer Taxes,T51,X
Alaska,02,2018,Severance Taxes,T53,"931,184"
Alaska,02,2018,"Taxes, NEC",T99,0
Arizona,03,2018,Total Taxes,T00,"16,293,917"
Arizona,03,2018,Property Taxes,T01,"1,047,254"
Arizona,03,2018,Sales and Gross Receipts Taxes,TA1,"9,708,694"
Arizona,03,2018,General Sales and Gross Receipts Taxes,T09,"7,687,992"
Arizona,03,2018,Selective Sales and Gross Receipts Taxes,TA2,"2,020,702"
Arizona,03,2018,Alcoholic Beverages Sales Tax,T10,"76,378"
Arizona,03,2018,Amusements Sales Tax,T11,"3,621"
Arizona,03,2018,Insurance Premiums Sales Tax,T12,"550,438"
Arizona,03,2018,Motor Fuels Sales Tax,T13,"869,183"
Arizona,03,2018,Pari-mutuels Sales Tax,T14,183
Arizona,03,2018,Public Utilities Sales Tax,T15,"21,805"
Arizona,03,2018,Tobacco Products Sales Tax,T16,"312,808"
Arizona,03,2018,Other Selective Sales and Gross Receipts Taxes,T19,"186,286"
Arizona,03,2018,License Taxes,TA3,"495,034"
Arizona,03,2018,Alcoholic Beverages License,T20,"8,592"
Arizona,03,2018,Amusements License,T21,X
Arizona,03,2018,Corporations in General License,T22,"14,493"
Arizona,03,2018,Hunting and Fishing License,T23,"37,005"
Arizona,03,2018,Motor Vehicle License,T24,"230,095"
Arizona,03,2018,Motor Vehicle Operators License,T25,"29,922"
Arizona,03,2018,Public Utilities License,T27,20
Arizona,03,2018,"Occupation and Business License, NEC",T28,"173,274"
Arizona,03,2018,Other License Taxes,T29,"1,633"
Arizona,03,2018,Income Taxes,TA4,"4,918,318"
Arizona,03,2018,Individual Income Taxes,T40,"4,545,242"
Arizona,03,2018,Corporations Net Income Taxes,T41,"373,076"
Arizona,03,2018,Other Taxes,TA5,"124,617"
Arizona,03,2018,Death and Gift Taxes,T50,X
Arizona,03,2018,Documentarty and Stock Transfer Taxes,T51,"18,263"
Arizona,03,2018,Severance Taxes,T53,"24,562"
Arizona,03,2018,"Taxes, NEC",T99,"81,792"
Arkansas,04,2018,Total Taxes,T00,"9,843,173"
Arkansas,04,2018,Property Taxes,T01,"1,212,794"
Arkansas,04,2018,Sales and Gross Receipts Taxes,TA1,"4,834,983"
Arkansas,04,2018,General Sales and Gross Receipts Taxes,T09,"3,498,073"
Arkansas,04,2018,Selective Sales and Gross Receipts Taxes,TA2,"1,336,910"
Arkansas,04,2018,Alcoholic Beverages Sales Tax,T10,"58,036"
Arkansas,04,2018,Amusements Sales Tax,T11,"64,580"
Arkansas,04,2018,Insurance Premiums Sales Tax,T12,"223,362"
Arkansas,04,2018,Motor Fuels Sales Tax,T13,"492,945"
Arkansas,04,2018,Pari-mutuels Sales Tax,T14,"2,335"
Arkansas,04,2018,Public Utilities Sales Tax,T15,X
Arkansas,04,2018,Tobacco Products Sales Tax,T16,"226,728"
Arkansas,04,2018,Other Selective Sales and Gross Receipts Taxes,T19,"268,924"
Arkansas,04,2018,License Taxes,TA3,"409,856"
Arkansas,04,2018,Alcoholic Beverages License,T20,"6,128"
Arkansas,04,2018,Amusements License,T21,488
Arkansas,04,2018,Corporations in General License,T22,"29,673"
Arkansas,04,2018,Hunting and Fishing License,T23,"26,672"
Arkansas,04,2018,Motor Vehicle License,T24,"164,617"
Arkansas,04,2018,Motor Vehicle Operators License,T25,"22,631"
Arkansas,04,2018,Public Utilities License,T27,"8,346"
Arkansas,04,2018,"Occupation and Business License, NEC",T28,"149,452"
Arkansas,04,2018,Other License Taxes,T29,"1,849"
Arkansas,04,2018,Income Taxes,TA4,"3,256,931"
Arkansas,04,2018,Individual Income Taxes,T40,"2,866,175"
Arkansas,04,2018,Corporations Net Income Taxes,T41,"390,756"
Arkansas,04,2018,Other Taxes,TA5,"128,609"
Arkansas,04,2018,Death and Gift Taxes,T50,0
Arkansas,04,2018,Documentarty and Stock Transfer Taxes,T51,"44,892"
Arkansas,04,2018,Severance Taxes,T53,"54,655"
Arkansas,04,2018,"Taxes, NEC",T99,"29,062"
California,05,2018,Total Taxes,T00,"175,016,884"
California,05,2018,Property Taxes,T01,"2,837,386"
California,05,2018,Sales and Gross Receipts Taxes,TA1,"53,846,346"
California,05,2018,General Sales and Gross Receipts Taxes,T09,"36,188,907"
California,05,2018,Selective Sales and Gross Receipts Taxes,TA2,"17,657,439"
California,05,2018,Alcoholic Beverages Sales Tax,T10,"376,735"
California,05,2018,Amusements Sales Tax,T11,X
California,05,2018,Insurance Premiums Sales Tax,T12,"2,569,271"
California,05,2018,Motor Fuels Sales Tax,T13,"6,351,756"
California,05,2018,Pari-mutuels Sales Tax,T14,"15,871"
California,05,2018,Public Utilities Sales Tax,T15,"688,489"
California,05,2018,Tobacco Products Sales Tax,T16,"2,428,121"
California,05,2018,Other Selective Sales and Gross Receipts Taxes,T19,"5,227,196"
California,05,2018,License Taxes,TA3,"10,504,521"
California,05,2018,Alcoholic Beverages License,T20,"60,519"
California,05,2018,Amusements License,T21,"20,583"
California,05,2018,Corporations in General License,T22,"80,029"
California,05,2018,Hunting and Fishing License,T23,"112,138"
California,05,2018,Motor Vehicle License,T24,"4,635,040"
California,05,2018,Motor Vehicle Operators License,T25,"281,045"
California,05,2018,Public Utilities License,T27,"752,340"
California,05,2018,"Occupation and Business License, NEC",T28,"4,535,825"
California,05,2018,Other License Taxes,T29,"27,002"
California,05,2018,Income Taxes,TA4,"107,640,534"
California,05,2018,Individual Income Taxes,T40,"95,152,230"
California,05,2018,Corporations Net Income Taxes,T41,"12,488,304"
California,05,2018,Other Taxes,TA5,"188,097"
California,05,2018,Death and Gift Taxes,T50,577
California,05,2018,Documentarty and Stock Transfer Taxes,T51,X
California,05,2018,Severance Taxes,T53,"108,912"
California,05,2018,"Taxes, NEC",T99,"78,608"
Colorado,06,2018,Total Taxes,T00,"14,802,263"
Colorado,06,2018,Property Taxes,T01,X
Colorado,06,2018,Sales and Gross Receipts Taxes,TA1,"5,712,243"
Colorado,06,2018,General Sales and Gross Receipts Taxes,T09,"3,211,909"
Colorado,06,2018,Selective Sales and Gross Receipts Taxes,TA2,"2,500,334"
Colorado,06,2018,Alcoholic Beverages Sales Tax,T10,"46,989"
Colorado,06,2018,Amusements Sales Tax,T11,"124,714"
Colorado,06,2018,Insurance Premiums Sales Tax,T12,"262,411"
Colorado,06,2018,Motor Fuels Sales Tax,T13,"675,962"
Colorado,06,2018,Pari-mutuels Sales Tax,T14,525
Colorado,06,2018,Public Utilities Sales Tax,T15,X
Colorado,06,2018,Tobacco Products Sales Tax,T16,"193,881"
Colorado,06,2018,Other Selective Sales and Gross Receipts Taxes,T19,"1,195,852"
Colorado,06,2018,License Taxes,TA3,"816,832"
Colorado,06,2018,Alcoholic Beverages License,T20,"9,102"
Colorado,06,2018,Amusements License,T21,728
Colorado,06,2018,Corporations in General License,T22,"21,265"
Colorado,06,2018,Hunting and Fishing License,T23,"76,251"
Colorado,06,2018,Motor Vehicle License,T24,"597,097"
Colorado,06,2018,Motor Vehicle Operators License,T25,"41,794"
Colorado,06,2018,Public Utilities License,T27,"13,742"
Colorado,06,2018,"Occupation and Business License, NEC",T28,"56,774"
Colorado,06,2018,Other License Taxes,T29,79
Colorado,06,2018,Income Taxes,TA4,"8,170,466"
Colorado,06,2018,Individual Income Taxes,T40,"7,510,366"
Colorado,06,2018,Corporations Net Income Taxes,T41,"660,100"
Colorado,06,2018,Other Taxes,TA5,"102,722"
Colorado,06,2018,Death and Gift Taxes,T50,X
Colorado,06,2018,Documentarty and Stock Transfer Taxes,T51,X
Colorado,06,2018,Severance Taxes,T53,"102,722"
Colorado,06,2018,"Taxes, NEC",T99,0
Connecticut,07,2018,Total Taxes,T00,"19,081,475"
Connecticut,07,2018,Property Taxes,T01,X
Connecticut,07,2018,Sales and Gross Receipts Taxes,TA1,"7,699,557"
Connecticut,07,2018,General Sales and Gross Receipts Taxes,T09,"4,530,509"
Connecticut,07,2018,Selective Sales and Gross Receipts Taxes,TA2,"3,169,048"
Connecticut,07,2018,Alcoholic Beverages Sales Tax,T10,"63,211"
Connecticut,07,2018,Amusements Sales Tax,T11,"275,266"
Connecticut,07,2018,Insurance Premiums Sales Tax,T12,"209,026"
Connecticut,07,2018,Motor Fuels Sales Tax,T13,"487,327"
Connecticut,07,2018,Pari-mutuels Sales Tax,T14,"3,937"
Connecticut,07,2018,Public Utilities Sales Tax,T15,"261,184"
Connecticut,07,2018,Tobacco Products Sales Tax,T16,"376,814"
Connecticut,07,2018,Other Selective Sales and Gross Receipts Taxes,T19,"1,492,283"
Connecticut,07,2018,License Taxes,TA3,"476,434"
Connecticut,07,2018,Alcoholic Beverages License,T20,"13,968"
Connecticut,07,2018,Amusements License,T21,230
Connecticut,07,2018,Corporations in General License,T22,"30,705"
Connecticut,07,2018,Hunting and Fishing License,T23,"5,754"
Connecticut,07,2018,Motor Vehicle License,T24,"238,351"
Connecticut,07,2018,Motor Vehicle Operators License,T25,"42,816"
Connecticut,07,2018,Public Utilities License,T27,X
Connecticut,07,2018,"Occupation and Business License, NEC",T28,"141,008"
Connecticut,07,2018,Other License Taxes,T29,"3,602"
Connecticut,07,2018,Income Taxes,TA4,"10,511,490"
Connecticut,07,2018,Individual Income Taxes,T40,"9,733,258"
Connecticut,07,2018,Corporations Net Income Taxes,T41,"778,232"
Connecticut,07,2018,Other Taxes,TA5,"393,994"
Connecticut,07,2018,Death and Gift Taxes,T50,"223,789"
Connecticut,07,2018,Documentarty and Stock Transfer Taxes,T51,"169,695"
Connecticut,07,2018,Severance Taxes,T53,X
Connecticut,07,2018,"Taxes, NEC",T99,510
Delaware,08,2018,Total Taxes,T00,"4,219,706"
Delaware,08,2018,Property Taxes,T01,X
Delaware,08,2018,Sales and Gross Receipts Taxes,TA1,"585,645"
Delaware,08,2018,General Sales and Gross Receipts Taxes,T09,X
Delaware,08,2018,Selective Sales and Gross Receipts Taxes,TA2,"585,645"
Delaware,08,2018,Alcoholic Beverages Sales Tax,T10,"26,556"
Delaware,08,2018,Amusements Sales Tax,T11,X
Delaware,08,2018,Insurance Premiums Sales Tax,T12,"110,292"
Delaware,08,2018,Motor Fuels Sales Tax,T13,"131,864"
Delaware,08,2018,Pari-mutuels Sales Tax,T14,67
Delaware,08,2018,Public Utilities Sales Tax,T15,"53,228"
Delaware,08,2018,Tobacco Products Sales Tax,T16,"123,026"
Delaware,08,2018,Other Selective Sales and Gross Receipts Taxes,T19,"140,612"
Delaware,08,2018,License Taxes,TA3,"1,574,576"
Delaware,08,2018,Alcoholic Beverages License,T20,"1,816"
Delaware,08,2018,Amusements License,T21,321
Delaware,08,2018,Corporations in General License,T22,"1,378,003"
Delaware,08,2018,Hunting and Fishing License,T23,"3,759"
Delaware,08,2018,Motor Vehicle License,T24,"58,969"
Delaware,08,2018,Motor Vehicle Operators License,T25,"5,838"
Delaware,08,2018,Public Utilities License,T27,134
Delaware,08,2018,"Occupation and Business License, NEC",T28,"117,494"
Delaware,08,2018,Other License Taxes,T29,"8,242"
Delaware,08,2018,Income Taxes,TA4,"1,907,137"
Delaware,08,2018,Individual Income Taxes,T40,"1,652,335"
Delaware,08,2018,Corporations Net Income Taxes,T41,"254,802"
Delaware,08,2018,Other Taxes,TA5,"152,348"
Delaware,08,2018,Death and Gift Taxes,T50,"4,425"
Delaware,08,2018,Documentarty and Stock Transfer Taxes,T51,"146,774"
Delaware,08,2018,Severance Taxes,T53,X
Delaware,08,2018,"Taxes, NEC",T99,"1,149"
DC,09,2018,Total Taxes,T00,"7,959,386"
DC,09,2018,Property Taxes,T01,"2,621,626"
DC,09,2018,Sales and Gross Receipts Taxes,TA1,"1,930,168"
DC,09,2018,General Sales and Gross Receipts Taxes,T09,"1,493,101"
DC,09,2018,Selective Sales and Gross Receipts Taxes,TA2,"437,067"
DC,09,2018,Alcoholic Beverages Sales Tax,T10,"6,560"
DC,09,2018,Amusements Sales Tax,T11,X
DC,09,2018,Insurance Premiums Sales Tax,T12,"115,290"
DC,09,2018,Motor Fuels Sales Tax,T13,"26,268"
DC,09,2018,Pari-mutuels Sales Tax,T14,X
DC,09,2018,Public Utilities Sales Tax,T15,"179,065"
DC,09,2018,Tobacco Products Sales Tax,T16,"27,956"
DC,09,2018,Other Selective Sales and Gross Receipts Taxes,T19,"81,928"
DC,09,2018,License Taxes,TA3,"198,930"
DC,09,2018,Alcoholic Beverages License,T20,"5,691"
DC,09,2018,Amusements License,T21,X
DC,09,2018,Corporations in General License,T22,"36,217"
DC,09,2018,Hunting and Fishing License,T23,81
DC,09,2018,Motor Vehicle License,T24,"39,514"
DC,09,2018,Motor Vehicle Operators License,T25,"6,074"
DC,09,2018,Public Utilities License,T27,X
DC,09,2018,"Occupation and Business License, NEC",T28,"58,429"
DC,09,2018,Other License Taxes,T29,"52,924"
DC,09,2018,Income Taxes,TA4,"2,641,587"
DC,09,2018,Individual Income Taxes,T40,"2,066,842"
DC,09,2018,Corporations Net Income Taxes,T41,"574,745"
DC,09,2018,Other Taxes,TA5,"567,075"
DC,09,2018,Death and Gift Taxes,T50,"35,708"
DC,09,2018,Documentarty and Stock Transfer Taxes,T51,"472,444"
DC,09,2018,Severance Taxes,T53,X
DC,09,2018,"Taxes, NEC",T99,"58,923"
Florida,10,2018,Total Taxes,T00,"45,961,204"
Florida,10,2018,Property Taxes,T01,X
Florida,10,2018,Sales and Gross Receipts Taxes,TA1,"38,456,615"
Florida,10,2018,General Sales and Gross Receipts Taxes,T09,"29,562,900"
Florida,10,2018,Selective Sales and Gross Receipts Taxes,TA2,"8,893,715"
Florida,10,2018,Alcoholic Beverages Sales Tax,T10,"293,098"
Florida,10,2018,Amusements Sales Tax,T11,"207,460"
Florida,10,2018,Insurance Premiums Sales Tax,T12,"1,084,872"
Florida,10,2018,Motor Fuels Sales Tax,T13,"2,799,610"
Florida,10,2018,Pari-mutuels Sales Tax,T14,"8,352"
Florida,10,2018,Public Utilities Sales Tax,T15,"2,387,900"
Florida,10,2018,Tobacco Products Sales Tax,T16,"1,172,492"
Florida,10,2018,Other Selective Sales and Gross Receipts Taxes,T19,"939,931"
Florida,10,2018,License Taxes,TA3,"2,123,462"
Florida,10,2018,Alcoholic Beverages License,T20,"6,418"
Florida,10,2018,Amusements License,T21,"16,000"
Florida,10,2018,Corporations in General License,T22,"263,623"
Florida,10,2018,Hunting and Fishing License,T23,"16,629"
Florida,10,2018,Motor Vehicle License,T24,"1,449,604"
Florida,10,2018,Motor Vehicle Operators License,T25,"165,332"
Florida,10,2018,Public Utilities License,T27,"24,424"
Florida,10,2018,"Occupation and Business License, NEC",T28,"171,749"
Florida,10,2018,Other License Taxes,T29,"9,683"
Florida,10,2018,Income Taxes,TA4,"2,426,900"
Florida,10,2018,Individual Income Taxes,T40,X
Florida,10,2018,Corporations Net Income Taxes,T41,"2,426,900"
Florida,10,2018,Other Taxes,TA5,"2,954,227"
Florida,10,2018,Death and Gift Taxes,T50,"1,927"
Florida,10,2018,Documentarty and Stock Transfer Taxes,T51,"2,916,100"
Florida,10,2018,Severance Taxes,T53,"36,200"
Florida,10,2018,"Taxes, NEC",T99,0
Georgia,11,2018,Total Taxes,T00,"23,602,510"
Georgia,11,2018,Property Taxes,T01,"927,590"
Georgia,11,2018,Sales and Gross Receipts Taxes,TA1,"9,132,965"
Georgia,11,2018,General Sales and Gross Receipts Taxes,T09,"5,938,448"
Georgia,11,2018,Selective Sales and Gross Receipts Taxes,TA2,"3,194,517"
Georgia,11,2018,Alcoholic Beverages Sales Tax,T10,"195,696"
Georgia,11,2018,Amusements Sales Tax,T11,X
Georgia,11,2018,Insurance Premiums Sales Tax,T12,"505,054"
Georgia,11,2018,Motor Fuels Sales Tax,T13,"1,801,798"
Georgia,11,2018,Pari-mutuels Sales Tax,T14,X
Georgia,11,2018,Public Utilities Sales Tax,T15,X
Georgia,11,2018,Tobacco Products Sales Tax,T16,"224,910"
Georgia,11,2018,Other Selective Sales and Gross Receipts Taxes,T19,"467,059"
Georgia,11,2018,License Taxes,TA3,"719,422"
Georgia,11,2018,Alcoholic Beverages License,T20,"4,103"
Georgia,11,2018,Amusements License,T21,X
Georgia,11,2018,Corporations in General License,T22,"59,608"
Georgia,11,2018,Hunting and Fishing License,T23,"35,418"
Georgia,11,2018,Motor Vehicle License,T24,"395,140"
Georgia,11,2018,Motor Vehicle Operators License,T25,"114,915"
Georgia,11,2018,Public Utilities License,T27,X
Georgia,11,2018,"Occupation and Business License, NEC",T28,"81,296"
Georgia,11,2018,Other License Taxes,T29,"28,942"
Georgia,11,2018,Income Taxes,TA4,"12,648,079"
Georgia,11,2018,Individual Income Taxes,T40,"11,643,781"
Georgia,11,2018,Corporations Net Income Taxes,T41,"1,004,298"
Georgia,11,2018,Other Taxes,TA5,"174,454"
Georgia,11,2018,Death and Gift Taxes,T50,0
Georgia,11,2018,Documentarty and Stock Transfer Taxes,T51,0
Georgia,11,2018,Severance Taxes,T53,X
Georgia,11,2018,"Taxes, NEC",T99,"174,454"
Hawaii,12,2018,Total Taxes,T00,"7,714,451"
Hawaii,12,2018,Property Taxes,T01,X
Hawaii,12,2018,Sales and Gross Receipts Taxes,TA1,"4,732,032"
Hawaii,12,2018,General Sales and Gross Receipts Taxes,T09,"3,529,065"
Hawaii,12,2018,Selective Sales and Gross Receipts Taxes,TA2,"1,202,967"
Hawaii,12,2018,Alcoholic Beverages Sales Tax,T10,"51,383"
Hawaii,12,2018,Amusements Sales Tax,T11,X
Hawaii,12,2018,Insurance Premiums Sales Tax,T12,"165,602"
Hawaii,12,2018,Motor Fuels Sales Tax,T13,"88,377"
Hawaii,12,2018,Pari-mutuels Sales Tax,T14,X
Hawaii,12,2018,Public Utilities Sales Tax,T15,"117,641"
Hawaii,12,2018,Tobacco Products Sales Tax,T16,"120,386"
Hawaii,12,2018,Other Selective Sales and Gross Receipts Taxes,T19,"659,578"
Hawaii,12,2018,License Taxes,TA3,"275,600"
Hawaii,12,2018,Alcoholic Beverages License,T20,X
Hawaii,12,2018,Amusements License,T21,X
Hawaii,12,2018,Corporations in General License,T22,"1,818"
Hawaii,12,2018,Hunting and Fishing License,T23,665
Hawaii,12,2018,Motor Vehicle License,T24,"191,757"
Hawaii,12,2018,Motor Vehicle Operators License,T25,306
Hawaii,12,2018,Public Utilities License,T27,"15,001"
Hawaii,12,2018,"Occupation and Business License, NEC",T28,"53,544"
Hawaii,12,2018,Other License Taxes,T29,"12,509"
Hawaii,12,2018,Income Taxes,TA4,"2,576,863"
Hawaii,12,2018,Individual Income Taxes,T40,"2,430,032"
Hawaii,12,2018,Corporations Net Income Taxes,T41,"146,831"
Hawaii,12,2018,Other Taxes,TA5,"129,956"
Hawaii,12,2018,Death and Gift Taxes,T50,"29,351"
Hawaii,12,2018,Documentarty and Stock Transfer Taxes,T51,"100,605"
Hawaii,12,2018,Severance Taxes,T53,X
Hawaii,12,2018,"Taxes, NEC",T99,0
Idaho,13,2018,Total Taxes,T00,"4,848,359"
Idaho,13,2018,Property Taxes,T01,X
Idaho,13,2018,Sales and Gross Receipts Taxes,TA1,"2,396,117"
Idaho,13,2018,General Sales and Gross Receipts Taxes,T09,"1,790,830"
Idaho,13,2018,Selective Sales and Gross Receipts Taxes,TA2,"605,287"
Idaho,13,2018,Alcoholic Beverages Sales Tax,T10,"9,710"
Idaho,13,2018,Amusements Sales Tax,T11,X
Idaho,13,2018,Insurance Premiums Sales Tax,T12,"97,359"
Idaho,13,2018,Motor Fuels Sales Tax,T13,"362,234"
Idaho,13,2018,Pari-mutuels Sales Tax,T14,884
Idaho,13,2018,Public Utilities Sales Tax,T15,"2,592"
Idaho,13,2018,Tobacco Products Sales Tax,T16,"51,141"
Idaho,13,2018,Other Selective Sales and Gross Receipts Taxes,T19,"81,367"
Idaho,13,2018,License Taxes,TA3,"367,178"
Idaho,13,2018,Alcoholic Beverages License,T20,"1,721"
Idaho,13,2018,Amusements License,T21,258
Idaho,13,2018,Corporations in General License,T22,"2,962"
Idaho,13,2018,Hunting and Fishing License,T23,"46,428"
Idaho,13,2018,Motor Vehicle License,T24,"195,431"
Idaho,13,2018,Motor Vehicle Operators License,T25,"10,341"
Idaho,13,2018,Public Utilities License,T27,"58,067"
Idaho,13,2018,"Occupation and Business License, NEC",T28,"47,431"
Idaho,13,2018,Other License Taxes,T29,"4,539"
Idaho,13,2018,Income Taxes,TA4,"2,076,673"
Idaho,13,2018,Individual Income Taxes,T40,"1,835,864"
Idaho,13,2018,Corporations Net Income Taxes,T41,"240,809"
Idaho,13,2018,Other Taxes,TA5,"8,391"
Idaho,13,2018,Death and Gift Taxes,T50,X
Idaho,13,2018,Documentarty and Stock Transfer Taxes,T51,X
Idaho,13,2018,Severance Taxes,T53,"5,463"
Idaho,13,2018,"Taxes, NEC",T99,"2,928"
Illinois,14,2018,Total Taxes,T00,"39,857,069"
Illinois,14,2018,Property Taxes,T01,"59,589"
Illinois,14,2018,Sales and Gross Receipts Taxes,TA1,"18,699,777"
Illinois,14,2018,General Sales and Gross Receipts Taxes,T09,"11,336,866"
Illinois,14,2018,Selective Sales and Gross Receipts Taxes,TA2,"7,362,911"
Illinois,14,2018,Alcoholic Beverages Sales Tax,T10,"296,162"
Illinois,14,2018,Amusements Sales Tax,T11,"888,260"
Illinois,14,2018,Insurance Premiums Sales Tax,T12,"456,406"
Illinois,14,2018,Motor Fuels Sales Tax,T13,"1,367,939"
Illinois,14,2018,Pari-mutuels Sales Tax,T14,"6,387"
Illinois,14,2018,Public Utilities Sales Tax,T15,"1,439,894"
Illinois,14,2018,Tobacco Products Sales Tax,T16,"764,296"
Illinois,14,2018,Other Selective Sales and Gross Receipts Taxes,T19,"2,143,567"
Illinois,14,2018,License Taxes,TA3,"2,751,479"
Illinois,14,2018,Alcoholic Beverages License,T20,"18,160"
Illinois,14,2018,Amusements License,T21,"15,918"
Illinois,14,2018,Corporations in General License,T22,"342,729"
Illinois,14,2018,Hunting and Fishing License,T23,"39,534"
Illinois,14,2018,Motor Vehicle License,T24,"1,618,750"
Illinois,14,2018,Motor Vehicle Operators License,T25,"116,118"
Illinois,14,2018,Public Utilities License,T27,"15,016"
